忻钰坤,2018-07-04,力荐,36191,“你敢保证你一辈子不得病？”纯粹、直接、有力！常常感叹：电影只能是电影。但每看到这样的佳作，又感慨：电影不只是电影！由衷的希望这部电影大卖！成为话题！成为榜样！成为国产电影最该有的可能。
沐子荒,2018-07-03,力荐,34960,"王传君所有不被外人理解的坚持，都在这一刻得到了完美释放。他不是关谷神奇，他是王传君。
你看，即使依旧烂片如云，只要还有哪怕极少的人坚持，中国影视也终于还是从中生出了茁壮的根。
我不是药神，治不好这世界。但能改变一点，总归是会好的。"
凌睿,2018-06-30,力荐,23520,别说这是“中国版《达拉斯买家俱乐部》”了，这是中国的真实事件改编的中国电影，是属于我们自己的电影。不知道就去百度一下“陆勇”，他卖印度抗癌药的时候《达拉斯买家俱乐部》还没上映呢。所以别提《达拉斯买家俱乐部》了，只会显得你无知。
徐若风,2018-06-06,推荐,21511,放豆瓣语境下，是部时至今日终于拍出来的国产“高分韩国电影”——拿现实题材拍商业类型片，社会性意义摆在那，群戏也处理得相当不错。对我们国家而言，这样的电影多一部是一部，走一步是一步。
桃桃淘电影,2018-06-19,推荐,17418,最大的病，其实是穷病。真的被感动了，整体都很成熟，也有些许韩片的影子。几个演员表演都非常出色。可看性和内在的表达都不错。这个世界最荒诞在于，越贴近真实，真实越荒诞。人这一生，太不易了。最后，王传君，加油哦！
远世祖,2018-06-30,力荐,11567,文牧野眼睛太毒了，观众的笑点、泪点、痛点被他牢牢抓住，徐峥现在不拼演技开始掏心炸肺放脱自我了，药物在中国绝对是个“不可说”，但这个电影说了它能说的，也不显山不漏水的说了它所不能说的，讲的是现实，但看过电影之后才会明白其实是超现实，2018最佳!
影志,2018-06-19,力荐,8674,“今后都会越来越好吧，希望这一天早点来”口罩成为符号，不是雾霾，而是人性的仪式，结尾竟然看到《辛德勒名单》一样的救赎。通俗感人，上海电影节首映哭倒一片，基于真实事件改编的社会意义加分，或许《我不是药神》之于中国，就像《摔跤吧爸爸》之于印度吧…能看到就不错。“其实只有一种病：穷病”
开开kergelen,2018-07-04,力荐,8444,小时候路过一家药店，门口的对联写着“只愿世间无疾病，何愁架上药染尘”
Noodles,2018-07-03,力荐,8312,人生建议：别买零食，吃不下的。
栀虞,2018-07-04,力荐,6751,王传君终于做了一个正确的决定，没有去参演那部死妈电影
大島,2018-07-05,力荐,5028,你的一个举动可能会改变别人的一生，酒吧领班从此爱上了钢管舞。
木卫二,2018-07-04,还行,3473,只要提到价值，中国电影的标准便会坍塌。明眼人都看得出，幕后黑哪是一脸奸相的大药厂，又或者，结尾辩方律师可以再底气不足一些。前后大发感言的两名老太，表演模式有何本质不同。徐峥的转变与倒贴，全是目睹惨相的愧疚觉悟——而在这样一部电影里，最不缺的就是惨。被消灭的，何止是戴口罩的病人
LOOK,2018-06-26,较差,3677,比较反感这类戴着批判现实主义帽子的电影却使用了大量讨好大众的商业片常用媚俗技巧（重点表现在笑点与哭点的有意设计），剧作方面最大的问题是徐峥的转变缺乏说服力缺乏震撼力度，人性恶看不到，人性善很牵强。2.5
张小北,2018-06-20,力荐,3767,电影能做到的好，这部电影都做到了。剩下的是这个时代不让它更好。在我们刚刚经历过的时代巨变洪流之中，有无数这样的小人物在时代洪流中艰难生存着，同时在竭力不丢失他们的灵魂。终于有这样一部电影，让我们能够看到时代，看到善意，看到希望。希望这部电影也能被这个时代善待。
喝可乐的鸟,2018-07-03,力荐,4553,炸裂，哭成狗，从观影体验上看，比达拉斯买家俱乐部好，之间隔了差不多五个《动物世界》，导演处女作就这完成度，只能说剧本实在太好。我爸爸也是药神的受益者之一，否则我应该房子也没了。感谢他们🙏。
OreoOlymLee,2018-07-03,较差,2822,微妙地在谄媚审查机制和迎合市场需求间取得平衡。看似蜻蜓点水地在法理与人情之间徘徊着作了一番试探性反思，却无比精明地把通过对政府（结尾法制宣传）和主角（“神性”的被赋予）这两极所本该承受的无论社会的、道义上的道德指责一股脑儿的推给大资本，本质上是取巧的推卸责任行为。
SELVEN,2018-06-30,较差,2602,50/100 又一个高压审查下变了味儿的作品，整部片子里都是好人，就外国奸商是坏蛋。观众感动得一塌糊涂，再看完结局字幕，药进医保了，吃下了这颗廉价但有效的安慰剂。就一个问题，中国进口药的高价是外商定价的锅？牵扯到版权就更让人难免浮想联翩。
给你好看,2018-07-04,力荐,2650,为一句“谁家还没个病人”泪流满面 感叹生命在“穷病”面前无药可救 感慨中国终于有了属于我们自己的有力量的电影 所有演员都非常出色 近年最好的群像表演 请记住这些电影人 宁浩 文牧野 徐峥 周一围 王传君 谭卓 章宇 杨新铭 王砚辉 咱们电影还是有希望的 愿中国的电影越来越好 谢谢
任仁忍,2018-07-04,较差,1928,可别吹了，有陆勇案这么好的原型故事做底子却拍成了超长春晚小品，先来段子笑料堆砌后催泪煽情。沾了题材的光，其实没什么货真价实的东西，人物的转折和情节设计的功能性和指向性也非常套路，故事讲得都差强人意，更遑论社会批判了。借赵本山的小品说，真没要啥自行车，看看报道可不好笑且远比这有启发
